DATE,Day,Month,Quarter,Year,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,NO. OF  TRADES
04-Feb-25,Tuesday,February,Q1,2025,EQ,2278.9,2312,2267.55,2261.85,2303.25,2301.5,2295.26,3743.9,2025,691187,55343
03-Feb-25,Monday,February,Q1,2025,EQ,2266.75,2279,2213.9,2270,2266.9,2261.85,2247.6,3743.9,2025,824942,63131
01-Feb-25,Saturday,February,Q1,2025,EQ,2297,2351.45,2237.55,2287.8,2269.95,2270,2290.99,3743.9,2025,987362,60333
31-Jan-25,Friday,January,Q1,2025,EQ,2238.85,2314.95,2213.75,2252.6,2297,2287.8,2280.98,3743.9,2025,2013345,96876
30-Jan-25,Thursday,January,Q1,2025,EQ,2325,2351.5,2201.3,2318.6,2247.9,2252.6,2267.93,3743.9,2025,2601625,146148
29-Jan-25,Wednesday,January,Q1,2025,EQ,2297,2326.25,2282.6,2286.05,2321.8,2318.6,2311.65,3743.9,2025,785220,54577
28-Jan-25,Tuesday,January,Q1,2025,EQ,2274.2,2315.85,2242,2259.7,2293.5,2286.05,2280.67,3743.9,2025,966497,68907
27-Jan-25,Monday,January,Q1,2025,EQ,2310.05,2318.1,2250.05,2315.1,2259.05,2259.7,2283.92,3743.9,2025,1032995,70412
24-Jan-25,Friday,January,Q1,2025,EQ,2387.75,2406,2299.4,2385,2314.05,2315.1,2350.05,3743.9,2025,1388583,82631
23-Jan-25,Thursday,January,Q1,2025,EQ,2383,2405.15,2355,2376.55,2376.3,2385,2383.47,3743.9,2025,826721,57688
22-Jan-25,Wednesday,January,Q1,2025,EQ,2399,2399,2325.15,2384.3,2377,2376.55,2350.04,3743.9,2025,1147334,70492
21-Jan-25,Tuesday,January,Q1,2025,EQ,2441.75,2441.75,2373.65,2442.8,2375,2384.3,2398.89,3743.9,2025,1206512,75686
20-Jan-25,Monday,January,Q1,2025,EQ,2413.75,2454,2390,2399.8,2434.1,2442.8,2424.85,3743.9,2025,1039435,62157
17-Jan-25,Friday,January,Q1,2025,EQ,2450,2450,2380.05,2427.85,2399.5,2399.8,2404.16,3743.9,2025,1122205,72852
16-Jan-25,Thursday,January,Q1,2025,EQ,2500,2570,2418.85,2388.15,2433,2427.85,2461.44,3743.9,2025,2841803,169165
15-Jan-25,Wednesday,January,Q1,2025,EQ,2399,2421.95,2372.65,2380.55,2377.7,2388.15,2394.1,3743.9,2025,1421437,89565
14-Jan-25,Tuesday,January,Q1,2025,EQ,2241.5,2422.9,2241.5,2225.15,2382,2380.55,2370.68,3743.9,2025,4120705,239191
13-Jan-25,Monday,January,Q1,2025,EQ,2365,2365,2216.9,2374.4,2227,2225.15,2280.87,3743.9,2025,1559903,104906
10-Jan-25,Friday,January,Q1,2025,EQ,2480,2484.6,2368.25,2477.9,2380.1,2374.4,2407.11,3743.9,2025,1418808,108945
09-Jan-25,Thursday,January,Q1,2025,EQ,2517,2517.55,2469.5,2515.25,2484.85,2477.9,2487.61,3743.9,2025,705838,60127
08-Jan-25,Wednesday,January,Q1,2025,EQ,2520.55,2530,2490,2520.55,2511.2,2515.25,2509.14,3743.9,2025,879641,74141
07-Jan-25,Tuesday,January,Q1,2025,EQ,2474.65,2525,2474.65,2474.45,2524.8,2520.55,2510.58,3743.9,2025,1019131,69952
06-Jan-25,Monday,January,Q1,2025,EQ,2557.65,2568.85,2463.5,2564.6,2472,2474.45,2497.27,3743.9,2025,1121398,88877
03-Jan-25,Friday,January,Q1,2025,EQ,2580,2619,2556.6,2597.7,2562,2564.6,2589.16,3743.9,2025,932795,52144
02-Jan-25,Thursday,January,Q1,2025,EQ,2565.7,2602,2537,2554.85,2587.85,2597.7,2569.89,3743.9,2025,1167236,73015
01-Jan-25,Wednesday,January,Q1,2025,EQ,2536,2644.2,2518.25,2528.65,2545.9,2554.85,2561.31,3743.9,2025,2875721,140672
31-Dec-24,Tuesday,December,Q4,2024,EQ,2575,2577.75,2507.45,2592.35,2530,2528.65,2531.14,3743.9,2025,2745674,124232
30-Dec-24,Monday,December,Q4,2024,EQ,2425,2610,2421.95,2409.95,2585,2592.35,2549.07,3743.9,2025,7825097,338992
27-Dec-24,Friday,December,Q4,2024,EQ,2415,2446.15,2390.5,2400.25,2420,2409.95,2421,3743.9,2025,1982291,73559
26-Dec-24,Thursday,December,Q4,2024,EQ,2378.05,2410,2368,2372.45,2401,2400.25,2389.27,3743.9,2025,895785,63476
24-Dec-24,Tuesday,December,Q4,2024,EQ,2355.2,2412.9,2340,2338.95,2372,2372.45,2381.05,3743.9,2025,1156186,70017
23-Dec-24,Monday,December,Q4,2024,EQ,2373.95,2379.5,2332.75,2344.95,2346,2338.95,2351.63,3743.9,2025,758920,54920
20-Dec-24,Friday,December,Q4,2024,EQ,2429,2453.85,2333,2419.35,2349.2,2344.95,2403.77,3743.9,2025,1337016,75322
19-Dec-24,Thursday,December,Q4,2024,EQ,2429,2434,2397.1,2457.4,2421.95,2419.35,2417.59,3743.9,2025,1181898,74211
18-Dec-24,Wednesday,December,Q4,2024,EQ,2489,2496.6,2452,2487.6,2459.55,2457.4,2469.89,3743.9,2025,990217,56893
17-Dec-24,Tuesday,December,Q4,2024,EQ,2512,2525,2480.75,2512.4,2488.85,2487.6,2503.41,3743.9,2025,1061891,52797
16-Dec-24,Monday,December,Q4,2024,EQ,2530,2537.5,2503,2527.55,2507,2512.4,2518.05,3743.9,2025,654321,39040
13-Dec-24,Friday,December,Q4,2024,EQ,2504,2545,2479.05,2504.1,2527,2527.55,2516.13,3743.9,2025,1940935,86754
12-Dec-24,Thursday,December,Q4,2024,EQ,2457,2534.8,2446.25,2457.25,2504,2504.1,2500.62,3743.9,2025,2579624,136426
11-Dec-24,Wednesday,December,Q4,2024,EQ,2469,2480,2451,2467.2,2455,2457.25,2461.57,3743.9,2025,712674,43901
10-Dec-24,Tuesday,December,Q4,2024,EQ,2501,2501,2455,2495.85,2467.5,2467.2,2473.87,3743.9,2025,1119844,56796
09-Dec-24,Monday,December,Q4,2024,EQ,2507.9,2526,2483.15,2506.4,2494.8,2495.85,2503.59,3743.9,2025,958369,53488
06-Dec-24,Friday,December,Q4,2024,EQ,2520,2535,2502.5,2522.55,2504.9,2506.4,2517.43,3743.9,2025,1240437,56172
05-Dec-24,Thursday,December,Q4,2024,EQ,2505,2538.15,2470.25,2494.75,2520.9,2522.55,2504.4,3743.9,2025,3333144,160996
